,condition,cf,concentration,prep
0,128,0.006367594401041667,0.21875,CORE
1,128,0.0055721028645833335,0.21875,CORE
2,128,0.005074666341145833,0.21875,CORE
3,128,0.025868055555555554,0.21875,CORE
4,128,0.012934027777777777,0.21875,CORE
5,128,0.0062908935546875,0.21875,CORE
6,128,0.008630777994791667,0.21875,CORE
7,128,0.012934027777777777,0.21875,CORE
8,128,0.008072916666666667,0.21875,CORE
9,128,0.0,0.21875,CORE
10,128,0.0054294840494791665,0.21875,CORE
11,16,0.0,1.75,CORE
12,16,0.0,1.75,CORE
13,16,0.017543741861979167,1.75,CORE
14,16,0.0180731201171875,1.75,CORE
15,16,0.016817423502604168,1.75,CORE
16,16,0.017273966471354166,1.75,CORE
17,16,0.0167254638671875,1.75,CORE
18,16,0.018359171549479168,1.75,CORE
19,16,0.018893636067708334,1.75,CORE
20,16,0.0,1.75,CORE
21,16,0.01720621744791667,1.75,CORE
22,32,0.013169352213541667,0.875,CORE
23,32,0.005208333333333333,0.875,CORE
24,32,0.013541666666666667,0.875,CORE
25,32,0.0145355224609375,0.875,CORE
26,32,0.011805555555555555,0.875,CORE
27,32,0.011111111111111112,0.875,CORE
28,32,0.0,0.875,CORE
29,32,0.0,0.875,CORE
30,32,0.011177571614583333,0.875,CORE
31,32,0.0,0.875,CORE
32,4,0.0266400146484375,7.0,CORE
33,4,0.0283966064453125,7.0,CORE
34,4,0.026380615234375,7.0,CORE
35,4,0.029623209635416668,7.0,CORE
36,4,0.0259381103515625,7.0,CORE
37,4,0.029642740885416668,7.0,CORE
38,4,0.028882242838541666,7.0,CORE
39,4,0.029773763020833333,7.0,CORE
40,4,0.028318277994791665,7.0,CORE
41,4,0.027911376953125,7.0,CORE
42,4,0.03157633463541667,7.0,CORE
43,64,0.0035590277777777777,0.4375,CORE
44,64,0.0,0.4375,CORE
45,64,0.0,0.4375,CORE
46,64,0.011437581380208334,0.4375,CORE
47,64,0.0104754638671875,0.4375,CORE
48,64,0.016647745768229166,0.4375,CORE
49,64,0.00043402777777777775,0.4375,CORE
50,64,0.012726643880208333,0.4375,CORE
51,64,0.0,0.4375,CORE
52,64,0.0,0.4375,CORE
53,8,0.0,3.5,CORE
54,8,0.02035400390625,3.5,CORE
55,8,0.019382120768229167,3.5,CORE
56,8,0.018744099934895835,3.5,CORE
57,8,0.019526163736979168,3.5,CORE
58,8,0.023136800130208333,3.5,CORE
59,8,0.0195513916015625,3.5,CORE
60,8,0.022598876953125,3.5,CORE
61,8,0.023202718098958332,3.5,CORE
62,8,0.023630574544270835,3.5,CORE
63,8,0.023177693684895834,3.5,CORE
