,condition,cf,concentration,prep
0,128,0.0010117594401041667,1.1875,IDR
1,128,0.0,1.1875,IDR
2,128,0.0,1.1875,IDR
3,128,0.0,1.1875,IDR
4,128,0.0,1.1875,IDR
5,128,0.0,1.1875,IDR
6,128,0.0,1.1875,IDR
7,128,0.0,1.1875,IDR
8,128,0.0,1.1875,IDR
9,128,0.0,1.1875,IDR
10,128,0.005165201822916667,1.1875,IDR
11,16,0.00051025390625,9.5,IDR
12,16,0.0021089680989583334,9.5,IDR
13,16,0.00080810546875,9.5,IDR
14,16,0.0022336832682291665,9.5,IDR
15,16,0.0,9.5,IDR
16,16,0.0013389078776041667,9.5,IDR
17,16,0.0020048014322916665,9.5,IDR
18,16,0.0006632486979166667,9.5,IDR
19,16,0.00073486328125,9.5,IDR
20,16,0.000821533203125,9.5,IDR
21,16,0.00074951171875,9.5,IDR
22,16,0.007984822591145833,9.5,IDR
23,16,0.0018088785807291667,9.5,IDR
24,16,0.0010028076171875,9.5,IDR
25,256,0.0,0.59375,IDR
26,256,0.0,0.59375,IDR
27,256,0.0,0.59375,IDR
28,256,0.06979166666666667,0.59375,IDR
29,256,0.003406982421875,0.59375,IDR
30,256,0.0,0.59375,IDR
31,256,0.0,0.59375,IDR
32,256,0.0,0.59375,IDR
33,256,0.0,0.59375,IDR
34,256,0.0,0.59375,IDR
35,32,0.00195068359375,4.75,IDR
36,32,0.0029815673828125,4.75,IDR
37,32,0.0,4.75,IDR
38,32,0.0012939453125,4.75,IDR
39,32,0.0012213134765625,4.75,IDR
40,32,0.0016400146484375,4.75,IDR
41,32,0.000416259765625,4.75,IDR
42,32,0.0008591715494791666,4.75,IDR
43,32,0.0,4.75,IDR
44,32,0.0,4.75,IDR
45,4,0.0,38.0,IDR
46,4,0.0,38.0,IDR
47,4,0.0011960856119791667,38.0,IDR
48,4,0.0079998779296875,38.0,IDR
49,4,0.0022141520182291665,38.0,IDR
50,4,0.0007411702473958333,38.0,IDR
51,4,0.001957600911458333,38.0,IDR
52,4,0.0,38.0,IDR
53,4,0.00199462890625,38.0,IDR
54,4,0.004092814127604167,38.0,IDR
55,4,0.0,38.0,IDR
56,64,0.0011177571614583333,2.375,IDR
57,64,0.0023130289713541668,2.375,IDR
58,64,0.0,2.375,IDR
59,64,0.0,2.375,IDR
60,64,0.0,2.375,IDR
61,64,0.0,2.375,IDR
62,64,0.0,2.375,IDR
63,64,0.0,2.375,IDR
64,64,0.0,2.375,IDR
65,64,0.0017740885416666667,2.375,IDR
66,8,0.0020650227864583335,19.0,IDR
67,8,0.004205322265625,19.0,IDR
68,8,0.0021199544270833334,19.0,IDR
69,8,0.0032076009114583334,19.0,IDR
70,8,0.00637939453125,19.0,IDR
71,8,0.0023746744791666666,19.0,IDR
72,8,0.0,19.0,IDR
73,8,0.0014605712890625,19.0,IDR
74,8,0.0013761393229166667,19.0,IDR
75,8,0.0017976888020833333,19.0,IDR
